config,instance,run,solutionCosts,optimal,feasible,totalTime,improvement of runtime over runtime without batching,average number of jobs per batch,normalised objective bound,total running time,total setup time,total setup costs,number of too late jobs,number of batches,number of too late jobs (simple bound),integer objective bound,time required for calculation of batch count lower bound,time required for calculation of tardiness lower bound,time required for calculation of setup cost lower bound,solution_method,instance_number,objective
--lB -i,../../instances/70RandomOvenSchedulingInstance-n100-k2-a5-WithInitialStates.json,1,-1,-1,-1,1.34655,1.466855524,1.470588235,0.7123179487,3530,0,195,72,68,72,58338840,0.14269,0.64782,0.51056,lowerBounds,70,combined objective
--lB -i,../../instances/71RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.31197,6,6.666666667,0.9586349206,92,0,13,100,15,100,60394,0.81205,0.36099,0.09633,lowerBounds,71,combined objective
--lB -i,../../instances/72RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.63576,5.349056604,5.882352941,0.9598730159,106,0,16,100,17,100,60471,0.79281,0.70295,0.09705,lowerBounds,72,combined objective
--lB -i,../../instances/73RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.66623,1.918088737,1.851851852,0.4904126984,293,0,162,49,54,49,30896,0.84679,0.26058,0.51485,lowerBounds,73,combined objective
--lB -i,../../instances/74RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json,1,-1,-1,-1,2.11848,1.87554672,1.818181818,0.9731349206,2515,0,200,100,55,100,11280580,0.74149,0.71331,0.61861,lowerBounds,74,combined objective
--lB -i,../../instances/75RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.json,1,-1,-1,-1,1.17953,6.257985258,10,0.9402898226,814,0,184,98,10,98,70493528,0.78805,0.24469,0.10178,lowerBounds,75,combined objective
--lB -i,../../instances/76RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.45359,3.386904762,4,0.9654285714,168,0,25,100,25,100,60822,0.20454,0.10714,0.09973,lowerBounds,76,combined objective
--lB -i,../../instances/77RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.90937,10.03921569,14.28571429,0.7842857143,51,0,3,82,7,82,49410,0.25581,0.51513,0.09514,lowerBounds,77,combined objective
--lB -i,../../instances/78RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.98504,5.239583333,5.882352941,0.3396190476,96,0,6,35,17,35,21396,0.22698,0.61618,0.09985,lowerBounds,78,combined objective
--lB -i,../../instances/79RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.91949,2.787197232,3.571428571,0.9667381924,1734,0,230,100,28,100,12434670,0.26043,0.50522,0.1102,lowerBounds,79,combined objective
--lB -i,../../instances/80RandomOvenSchedulingInstance-n100-k5-a5-WithInitialStates.json,1,-1,-1,-1,0.76418,4.41789748,5.882352941,0.3524223343,1151,0,254,36,17,36,108515242,0.2261,0.39609,0.09926,lowerBounds,80,combined objective
--lB -i,../../instances/81RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.12.json,1,-1,-1,-1,3.38458,7.740540541,7.142857143,0.2792761905,185,0,23,72,35,72,43986,2.03624,1.20311,0.10276,lowerBounds,81,combined objective
--lB -i,../../instances/82RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.15.json,1,-1,-1,-1,2.63644,20.64179104,15.625,0.8708825397,67,0,32,228,16,228,137164,2.15954,0.33489,0.0965,lowerBounds,82,combined objective
