config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/21NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.27.30.dzn;1;0.859882086;47401;1;1;89;19;22;13;7.9678;8.803077;0.000235828;13;55125;singleobj-mzn-gurobi-noBounds;21;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/22NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.28.48.dzn;1;0.924190476;14556;1;1;39;0;24;4;1.2622;2.069711;0.000253968;4;15750;singleobj-mzn-gurobi-noBounds;22;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn ../../mzn-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn;1;0.974538621;64250844;1;1;677;140;25;10;24.6666;25.7291;1.52E-07;10;65929500;singleobj-mzn-gurobiWS-noBounds;23;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn;1;0.974996018;64281000;1;1;683;157;25;10;18.1553;19.007757;1.52E-07;10;65929500;singleobj-mzn-gurobi-noBounds;23;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/interval-repr-jobs-batchcount.mod $file;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dat;1;1.52E-07;10;1;1;644;153;25;10;3.41;3.54;1.52E-07;10;65929500;singleobj-opl-reprjob-noBounds;23;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/interval-repr-jobs-warmstart-batchcount.mod $file;../../opl-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dat;1;1.52E-07;10;1;1;647;140;25;10;2.72;2.84;1.52E-07;10;65929500;singleobj-opl-reprjob-WS-noBounds;23;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn ../../mzn-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn;1;0.97311419;64156932;1;1;638;123;25;;2463.8577;2465.01426;9.68E-06;638;65929500;singleobj-mzn-gurobiWS-noBounds;23;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/interval-repr-jobs-ovenruntime.mod $file;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dat;1;9.68E-06;638;1;1;638;170;25;10;4.13;4.25;9.68E-06;638;65929500;singleobj-opl-reprjob-noBounds;23;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/interval-repr-jobs-warmstart-ovenruntime.mod $file;../../opl-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dat;1;9.68E-06;638;1;1;638;140;25;10;4.06;4.19;9.68E-06;638;65929500;singleobj-opl-reprjob-WS-noBounds;23;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn ../../mzn-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn;1;0.974374263;64240008;1;1;681;123;25;;79.9557;81.00394;1.87E-06;123;65929500;singleobj-mzn-gurobiWS-noBounds;23;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/interval-repr-jobs-setupcosts.mod $file;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dat;1;1.87E-06;123;-1;1;638;123;25;10;3599.99;3600.13;7.89E-07;52;65929500;singleobj-opl-reprjob-noBounds;23;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/interval-repr-jobs-warmstart-setupcosts.mod $file;../../opl-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dat;1;1.87E-06;123;-1;1;638;123;25;10;3600.04;3600.17;9.40E-07;62;65929500;singleobj-opl-reprjob-WS-noBounds;23;setupcosts
