config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;1.52E-07;10;1;1;647;140;25;10;2.75;2.88;1.52E-07;10;65929500;singleobj-opl-reprjob-LB-WS-noUB;23;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn;1;-1;-1;-1;-1;;;;;3608.1277;;;;;singleobj-mzn-gurobi-LB-noUB;23;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn ../../instancesUC1withLB/mzn/warmstart/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.97311419;64156932;-1;1;638;123;25;10;3607.7143;3608.614607;8.52E-06;562;65929500;singleobj-mzn-gurobiWS-LB-noUB;23;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/23_oven_scheduling.cpoptimizer_instance_1212-10.33.17.dat;1;9.68E-06;638;1;1;638;140;25;10;4.42;4.53;9.68E-06;638;65929500;singleobj-opl-reprjob-LB-noUB;23;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;9.68E-06;638;1;1;638;140;25;10;3.52;3.67;9.68E-06;638;65929500;singleobj-opl-reprjob-LB-WS-noUB;23;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn;1;0.97340723;64176252;1;1;648;123;25;10;44.511;45.374129;1.87E-06;123;65929500;singleobj-mzn-gurobi-LB-noUB;23;setupcosts
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn ../../instancesUC1withLB/mzn/warmstart/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.974374263;64240008;1;1;681;123;25;10;15.42;16.288904;1.87E-06;123;65929500;singleobj-mzn-gurobiWS-LB-noUB;23;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/23_oven_scheduling.cpoptimizer_instance_1212-10.33.17.dat;1;1.87E-06;123;-1;1;642;123;25;10;3599.99;3600.11;1.65E-06;109;65929500;singleobj-opl-reprjob-LB-noUB;23;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;1.87E-06;123;-1;1;656;123;25;10;3599.97;3600.11;1.65E-06;109;65929500;singleobj-opl-reprjob-LB-WS-noUB;23;setupcosts
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-tardiness-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn;1;0.973543558;64185240;1;1;647;133;25;11;3.9687;4.819157;3.79E-07;25;65929500;singleobj-mzn-gurobi-LB-noUB;23;tardiness
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-tardiness-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/23_oven_scheduling.minizinc_instance_1212-10.33.18.dzn ../../instancesUC1withLB/mzn/warmstart/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.974538621;64250844;1;1;677;140;25;10;0.948;1.808264;3.79E-07;25;65929500;singleobj-mzn-gurobiWS-LB-noUB;23;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/23_oven_scheduling.cpoptimizer_instance_1212-10.33.17.dat;1;3.79E-07;25;1;1;917;246;25;16;0.02;0.15;3.79E-07;25;65929500;singleobj-opl-reprjob-LB-noUB;23;tardiness
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-tardiness.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/23_warm_start_23RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;3.79E-07;25;1;1;647;140;25;10;0.02;0.13;3.79E-07;25;65929500;singleobj-opl-reprjob-LB-WS-noUB;23;tardiness
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/24_oven_scheduling.minizinc_instance_1212-10.33.20.dzn;1;0.900677249;340456;1;1;660;167;23;12;75.1118;75.965476;3.17E-05;12;378000;singleobj-mzn-gurobi-LB-noUB;24;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/24_oven_scheduling.minizinc_instance_1212-10.33.20.dzn ../../instancesUC1withLB/mzn/warmstart/24_warm_start_24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.864962963;326956;1;1;727;179;22;12;65.0679;65.925248;3.17E-05;12;378000;singleobj-mzn-gurobiWS-LB-noUB;24;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/24_oven_scheduling.cpoptimizer_instance_1212-10.33.19.dat;1;3.17E-05;12;1;1;659;185;24;12;3.92;4.1;3.17E-05;12;378000;singleobj-opl-reprjob-LB-noUB;24;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/24_warm_start_24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;3.17E-05;12;1;1;659;166;23;12;3.7;3.84;3.17E-05;12;378000;singleobj-opl-reprjob-LB-WS-noUB;24;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/24_oven_scheduling.minizinc_instance_1212-10.33.20.dzn;1;0.824603175;311700;-1;1;659;174;21;12;3608.7995;3609.657532;0.001650794;624;378000;singleobj-mzn-gurobi-LB-noUB;24;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/24_oven_scheduling.minizinc_instance_1212-10.33.20.dzn ../../instancesUC1withLB/mzn/warmstart/24_warm_start_24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.862677249;326092;-1;1;659;173;22;12;3608.589;3609.431697;0.001650794;624;378000;singleobj-mzn-gurobiWS-LB-noUB;24;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/24_oven_scheduling.cpoptimizer_instance_1212-10.33.19.dat;1;0.001743386;659;1;1;659;168;25;12;4.9;5.03;0.001743386;659;378000;singleobj-opl-reprjob-LB-noUB;24;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/24_warm_start_24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dat;1;0.001743386;659;1;1;659;167;25;12;4.45;4.58;0.001743386;659;378000;singleobj-opl-reprjob-LB-WS-noUB;24;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/24_oven_scheduling.minizinc_instance_1212-10.33.20.dzn;1;0.902888889;341292;1;1;737;156;23;12;190.9242;191.99926;0.000412698;156;378000;singleobj-mzn-gurobi-LB-noUB;24;setupcosts
